"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 28 00:22:42 MSK 2024","Sun Jan 28 00:22:45 MSK 2024","2556","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","createPublickAdres","createPublickAdres",""
"broken","Sun Jan 28 00:22:19 MSK 2024","Sun Jan 28 00:22:23 MSK 2024","4316","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","creatPrivateAdresLocker","creatPrivateAdresLocker",""
"broken","Sun Jan 28 00:22:23 MSK 2024","Sun Jan 28 00:22:25 MSK 2024","2429","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","creatPrivateAdresScoop","creatPrivateAdresScoop",""
"broken","Sun Jan 28 00:22:25 MSK 2024","Sun Jan 28 00:22:29 MSK 2024","3961","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","creatPublickAdresLocker","creatPublickAdresLocker",""
"broken","Sun Jan 28 00:22:14 MSK 2024","Sun Jan 28 00:22:19 MSK 2024","5131","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","creatPrivateAdres","creatPrivateAdres",""
"broken","Sun Jan 28 00:22:38 MSK 2024","Sun Jan 28 00:22:42 MSK 2024","3854","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","createPrivateGroupScoop","createPrivateGroupScoop",""
"broken","Sun Jan 28 00:22:29 MSK 2024","Sun Jan 28 00:22:32 MSK 2024","2491","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","creatPublickAdresScoop","creatPublickAdresScoop",""
"passed","Sun Jan 28 02:06:33 MSK 2024","Sun Jan 28 02:06:35 MSK 2024","2277","Default Suite","Admin_Ship_Auto","tests.withdrawalRequests.ClickRequestTests","tests.withdrawalRequests.ClickRequestTests","ClickRequest","ClickRequest",""
"broken","Sun Jan 28 00:22:32 MSK 2024","Sun Jan 28 00:22:36 MSK 2024","3925","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","createPrivateGroupAdres","createPrivateGroupAdres",""
"broken","Sun Jan 28 00:22:36 MSK 2024","Sun Jan 28 00:22:38 MSK 2024","2523","Default Suite","Admin_Ship_Auto","tests.creatadres.CreateAdresTest","tests.creatadres.CreateAdresTest","createPrivateGroupLocker","createPrivateGroupLocker",""
